,mm
2000-07-01,5.33
2000-07-08,11.432857142857143
2000-07-15,5.307142857142857
2000-07-22,4.418571428571428
2000-07-29,4.682857142857143
2000-08-05,6.3757142857142854
2000-08-12,4.394285714285714
2000-08-19,6.771428571428571
2000-08-26,4.642857142857143
2000-09-02,16.981428571428573
2000-09-09,12.745714285714284
2000-09-16,7.118571428571427
2000-09-23,15.715714285714286
2000-09-30,5.948571428571428
2000-10-07,3.7885714285714287
2000-10-14,9.552857142857144
2000-10-21,7.315714285714286
2000-10-28,4.935714285714285
2000-11-04,8.92142857142857
2000-11-11,9.692857142857145
2000-11-18,2.5385714285714287
2000-11-25,3.4842857142857144
2000-12-02,5.112857142857142
2000-12-09,3.101428571428572
2000-12-16,1.3800000000000001
2000-12-23,15.618888888888891
2001-01-01,15.617142857142856
2001-01-08,6.922857142857144
2001-01-15,9.578571428571427
2001-01-22,12.791428571428572
2001-01-29,9.204285714285714
2001-02-05,3.905714285714286
2001-02-12,4.701428571428571
2001-02-19,6.734285714285714
2001-02-26,11.867142857142856
2001-03-05,2.5028571428571427
2001-03-12,12.297142857142859
2001-03-19,14.139999999999999
2001-03-26,7.131428571428572
2001-04-02,11.755714285714287
2001-04-09,10.387142857142859
2001-04-16,11.197142857142856
2001-04-23,8.484285714285715
2001-04-30,7.337142857142858
2001-05-07,13.082857142857142
2001-05-14,7.821428571428571
2001-05-21,13.218571428571428
2001-05-28,16.084285714285716
2001-06-04,12.047142857142857
2001-06-11,14.088571428571429
2001-06-18,0.4485714285714285
2001-06-25,3.902857142857143
2001-07-02,16.124285714285715
2001-07-09,8.721428571428572
2001-07-16,7.518571428571428
2001-07-23,4.541428571428571
2001-07-30,7.077142857142858
2001-08-06,3.501428571428572
2001-08-13,1.0642857142857143
2001-08-20,4.751428571428571
2001-08-27,11.909999999999998
2001-09-03,10.268571428571429
2001-09-10,5.948571428571428
2001-09-17,4.091428571428571
2001-09-24,8.950000000000001
2001-10-01,6.265714285714286
2001-10-08,12.478571428571428
2001-10-15,9.015714285714285
2001-10-22,7.134285714285714
2001-10-29,19.135714285714283
2001-11-05,8.812857142857142
2001-11-12,9.532857142857143
2001-11-19,4.96
2001-11-26,8.59142857142857
2001-12-03,3.607142857142857
2001-12-10,10.515714285714285
2001-12-17,8.005714285714285
2001-12-24,14.06875
2002-01-01,16.305714285714284
2002-01-08,10.040000000000001
2002-01-15,17.295714285714286
2002-01-22,8.485714285714286
2002-01-29,7.952857142857143
2002-02-05,7.645714285714286
2002-02-12,5.978571428571428
2002-02-19,11.448571428571428
2002-02-26,6.67
2002-03-05,6.827142857142858
2002-03-12,8.622857142857143
2002-03-19,15.774285714285714
2002-03-26,12.907142857142857
2002-04-02,5.725714285714287
2002-04-09,14.852857142857145
2002-04-16,6.5128571428571425
2002-04-23,8.578571428571427
2002-04-30,9.042857142857143
2002-05-07,2.0028571428571427
2002-05-14,7.321428571428571
2002-05-21,5.934285714285714
2002-05-28,13.940000000000001
2002-06-04,4.5371428571428565
2002-06-11,10.171428571428569
2002-06-18,0.4542857142857143
2002-06-25,0.45428571428571424
2002-07-02,4.152857142857143
2002-07-09,3.0900000000000003
2002-07-16,9.364285714285714
2002-07-23,12.847142857142858
2002-07-30,7.42
2002-08-06,6.328571428571429
2002-08-13,4.53
2002-08-20,5.542857142857143
2002-08-27,11.481428571428571
2002-09-03,5.628571428571428
2002-09-10,3.6114285714285717
2002-09-17,5.508571428571429
2002-09-24,10.14
2002-10-01,4.985714285714286
2002-10-08,2.575714285714286
2002-10-15,6.991428571428571
2002-10-22,12.824285714285713
2002-10-29,8.832857142857142
2002-11-05,7.808571428571429
2002-11-12,7.748571428571428
2002-11-19,8.592857142857142
2002-11-26,6.142857142857143
2002-12-03,14.05285714285714
2002-12-10,6.052857142857143
2002-12-17,21.67571428571429
2002-12-24,8.77
2003-01-01,6.590000000000002
2003-01-08,10.594285714285714
2003-01-15,11.827142857142858
2003-01-22,4.371428571428571
2003-01-29,8.235714285714286
2003-02-05,15.055714285714286
2003-02-12,8.374285714285714
2003-02-19,20.971428571428568
2003-02-26,9.280000000000001
2003-03-05,10.924285714285714
2003-03-12,18.217142857142857
2003-03-19,13.732857142857144
2003-03-26,9.52142857142857
2003-04-02,9.852857142857143
2003-04-09,4.565714285714286
2003-04-16,11.982857142857144
2003-04-23,9.245714285714286
2003-04-30,14.134285714285713
2003-05-07,9.171428571428569
2003-05-14,2.2071428571428573
2003-05-21,24.738571428571426
2003-05-28,9.224285714285713
2003-06-04,19.770000000000003
2003-06-11,7.088571428571429
2003-06-18,13.100000000000003
2003-06-25,5.8514285714285705
2003-07-02,6.711428571428572
2003-07-09,5.111428571428571
2003-07-16,0.7485714285714286
2003-07-23,4.241428571428572
2003-07-30,13.748571428571427
2003-08-06,14.504285714285713
