,mm
1990-04-30,9.052000000000001
1990-05-07,5.408571428571428
1990-05-14,1.2871428571428574
1990-05-21,0.29714285714285715
1990-05-28,6.961428571428572
1990-06-04,10.171428571428569
1990-06-11,13.212857142857143
1990-06-18,4.131428571428573
1990-06-25,0.5528571428571428
1990-07-02,11.784285714285716
1990-07-09,1.7314285714285713
1990-07-16,11.764285714285716
1990-07-23,0.0
1990-07-30,13.245714285714287
1990-08-06,8.71857142857143
1990-08-13,3.8557142857142854
1990-08-20,6.008571428571429
1990-08-27,14.500000000000002
1990-09-03,11.564285714285715
1990-09-10,5.8757142857142854
1990-09-17,2.5942857142857143
1990-09-24,0.5299999999999999
1990-10-01,8.73857142857143
1990-10-08,6.170000000000001
1990-10-15,6.910000000000001
1990-10-22,3.4742857142857138
1990-10-29,13.024000000000001
1990-11-05,10.295714285714284
1990-11-12,6.562857142857143
1990-11-19,7.787142857142858
1990-11-26,10.77
1990-12-03,10.505714285714289
1990-12-10,9.35
1990-12-17,2.544285714285714
1990-12-24,11.4875
1991-01-01,3.9528571428571433
1991-01-08,5.920000000000001
1991-01-15,1.2485714285714287
1991-01-22,7.0200000000000005
1991-01-29,4.32
1991-02-05,4.727142857142857
1991-02-12,13.077142857142858
1991-02-19,3.5714285714285716
1991-02-26,10.364285714285714
1991-03-05,9.41
1991-03-12,6.72
1991-03-19,6.609999999999999
1991-03-26,8.711428571428574
1991-04-02,8.772857142857143
1991-04-09,7.015714285714286
1991-04-16,8.23
1991-04-23,11.067142857142857
1991-04-30,24.49285714285714
1991-05-07,1.49
1991-05-14,9.597142857142856
1991-05-21,9.605714285714285
1991-05-28,7.688571428571429
1991-06-04,3.2357142857142853
1991-06-11,3.652857142857143
1991-06-18,4.745714285714286
1991-06-25,10.645714285714288
1991-07-02,7.624285714285713
1991-07-09,10.885714285714286
1991-07-16,0.24857142857142858
1991-07-23,0.27285714285714285
1991-07-30,11.758571428571429
1991-08-06,14.145714285714288
1991-08-13,8.35
1991-08-20,0.32285714285714284
1991-08-27,12.92
1991-09-03,7.247142857142857
1991-09-10,1.9685714285714286
1991-09-17,7.314285714285714
1991-09-24,9.129999999999999
1991-10-01,7.228333333333334
1991-10-08,1.2771428571428571
1991-10-15,8.51
1991-10-22,6.211428571428572
1991-10-29,8.827142857142857
1991-11-05,1.0485714285714285
1991-11-12,10.484285714285715
1991-11-19,9.350000000000003
1991-11-26,16.922000000000004
1991-12-03,7.131428571428573
1991-12-10,8.631428571428572
1991-12-17,5.1
1991-12-24,6.5425
1992-01-01,1.6533333333333333
1992-01-08,7.8828571428571435
1992-01-15,7.3114285714285705
1992-01-22,0.7757142857142857
1992-01-29,4.598333333333334
1992-02-05,8.097142857142858
1992-02-12,9.84
1992-02-19,0.0
1992-02-26,5.105
1992-03-04,11.651428571428571
1992-03-11,12.05857142857143
1992-03-18,18.018333333333334
1992-03-25,10.928571428571429
1992-04-01,17.99
1992-04-08,6.659999999999999
1992-04-15,3.7642857142857133
1992-04-22,14.202857142857141
1992-04-29,3.9233333333333333
1992-05-06,8.179999999999998
1992-05-13,6.071428571428571
1992-05-20,4.822857142857143
1992-05-27,4.7700000000000005
1992-06-03,4.564285714285715
1992-06-10,3.355714285714286
1992-06-17,1.6742857142857142
1992-06-24,5.698571428571429
1992-07-01,13.368333333333332
1992-07-08,7.024285714285716
1992-07-15,13.30857142857143
1992-07-22,0.0
1992-07-29,1.3033333333333335
1992-08-05,4.018571428571429
1992-08-12,15.284285714285714
1992-08-19,8.105714285714287
1992-08-26,2.138571428571429
1992-09-02,6.488333333333333
1992-09-09,4.917142857142857
1992-09-16,6.4628571428571435
1992-09-23,7.355714285714286
1992-09-30,4.8566666666666665
1992-10-07,4.644285714285714
